"created","tp","pre","hum","amb"
2018-04-20 08:18:43,25.05,0,0,0
2018-04-20 08:18:54,25.02,0,52.95,30.08
2018-04-20 08:19:06,25.09,0,52.95,30.08
2018-04-20 08:19:18,25.09,0,52.93,30.08
2018-04-20 08:19:29,25.05,0,52.93,30.08
2018-04-20 08:19:40,0,0,52.92,30.08
2018-04-20 08:19:41,25.05,0,0,0
2018-04-20 08:19:52,25.05,0,52.92,30.08
2018-04-20 08:20:03,25.05,0,52.92,30.08
2018-04-20 08:20:14,0,0,52.92,0
2018-04-20 08:20:15,25.09,0,0,30.08
2018-04-20 08:20:26,25.09,0,52.92,30.08
2018-04-20 08:20:38,25.12,0,52.91,30.07
2018-04-20 08:20:49,25.12,0,52.91,30.08
2018-04-20 08:21:01,25.02,0,52.93,30.08
2018-04-20 08:21:13,25.09,0,52.93,30.07
2018-04-20 08:21:24,0,0,52.91,0
2018-04-20 08:21:25,25.09,0,0,30.07
2018-04-20 08:21:36,0,0,52.92,0
2018-04-20 08:21:37,25.15,0,0,30.08
2018-04-20 08:21:48,25.12,0,52.93,30.08
2018-04-20 08:21:59,25.05,0,52.93,30.07
2018-04-20 08:22:11,25.15,0,52.94,30.08
2018-04-20 08:22:22,0,0,52.93,0
2018-04-20 08:22:23,25.09,0,0,30.08
2018-04-20 08:22:34,25.12,0,52.94,30.08
2018-04-20 08:22:46,25.12,0,52.95,30.08
2018-04-20 08:22:57,25.12,0,52.94,30.08
2018-04-20 08:23:09,25.09,0,52.93,30.08
2018-04-20 08:23:20,0,0,52.93,0
2018-04-20 08:23:21,25.15,0,0,30.08
2018-04-20 08:23:32,25.19,0,52.94,30.08
2018-04-20 08:23:43,25.19,0,52.94,30.08
2018-04-20 08:23:55,25.15,0,52.96,30.09
2018-04-20 08:24:06,25.22,0,52.95,30.09
2018-04-20 08:24:17,0,0,52.97,30.09
2018-04-20 08:24:18,25.19,0,0,0
2018-04-20 08:24:29,25.19,0,52.97,30.09
2018-04-20 08:24:41,25.26,0,52.96,30.09
